店名	地址	联系电话
云南临沧双江县街铺	云南省临沧市双江县北回归大道43-3号植物医生街铺	15288441561
云南普洱景谷县街铺	云南省普洱市景谷县地王广场A-16号植物医生街铺	15887213063
云南大理巍山大仓镇街铺	云南省大理州巍山县大仓镇泰兴街街35号植物医生专柜	13529631236
云南临沧沃尔玛	云南省临沧市临翔区恒基广场沃尔玛附一楼植物医生专柜	18288282756
云南楚雄市北浦广场沃尔玛	云南省楚雄市北浦路北浦伟业广场沃尔玛植物医生专柜	15187251588
云南昆明呈贡雨花毓秀街铺	云南省昆明市呈贡大学城雨花毓秀小区一期东街A栋110号	15987153192
云南红河河口商贸街街铺	云南省红河州河口县商贸街145号植物医生	15924815131
云南省昆明市王旗营沃尔玛	云南省昆明市盘龙区联盟路王旗营沃尔玛	15198814782
云南昆明寻甸县街铺	云南省昆明市寻甸县民族广场A一15号植物医生	15924952650
云南昭通威信县街铺	云南省昭通市威信县兴威路扎西小学8号植物医生专柜	13368809719
云南大理泰业国际沃尔玛	云南省大理市建设路与泰安路交叉口泰业国际广场地下第一层植物医生专柜	13988590025
云南昭通巧家新华北路街铺	云南省昭通市巧家县新华北路13号植物医生专柜	18288942106
云南昭通永善县街铺	云南省昭通市永善县振兴大街原日用品公司一楼北往南第十间门面植物医生专柜	15094229554
云南昭通南顺城街铺	云南省昭通市昭阳区南顺城197号植物医生专柜	15087020183
云南昆明石林二店	云南省昆明市石林县双龙小街139号植物医生专柜	15812179347
昆明南屏街东口旗舰店	云南省昆明市南屏街东口113号	13888198659
云南曲靖罗平二店	云南省曲靖市罗平县振兴街百利广场A区一层H商铺植物医生街铺	18687423996
云南昭通市镇雄县二店	云南省昭通市镇雄县龙腾金龙苑6栋18号	15969001805
云南大理下关沃尔玛二店	云南省大理市下关泰安路中民广场沃尔玛植物医生专卖店	13988590025
云南昭通沃尔玛二店	云南省昭通市昭阳区环城东路昭通沃尔玛BF0011B植物医生	15087020183
云南芒市三店	云南省德宏州芒市团结大街植物医生专卖店	13888189953
云南文山麻栗坡县街铺	云南省文山州麻栗坡县玉尔贝路金康商城A1-16	13378769288
云南昆明呈贡兴呈路街铺	云南省昆明市呈贡县兴呈路植物医生专卖店	15987153192
云南玉溪红塔区南北大街街	云南省玉溪市红塔区南北大街18号植物医生专卖店	13987613172
云南玉溪新平县街铺	云南省玉溪市新平县桂山镇平山路14号植物医生专卖店	13888695213
